state	|	left	|	right	|	up	|	down
------------------ coin_idx = 7 ----------------
 15	|	-1.010	|	-0.022	|	-1.000	|	-0.022
 16	|	-1.022	|	0.978	|	-1.000	|	0.978
 17	|	-0.022	|	1.979	|	-0.022	|	1.979
 18	|	0.978	|	0.978	|	0.978	|	2.981
 19	|	1.979	|	0.000	|	-0.022	|	1.979
 20	|	0.000	|	2.993	|	0.990	|	2.993
 21	|	1.991	|	1.991	|	1.991	|	3.995
 22	|	2.993	|	0.990	|	0.990	|	2.993
 23	|	1.991	|	-0.010	|	-0.010	|	1.991
 24	|	0.990	|	-0.022	|	-1.010	|	0.990
 25	|	-0.010	|	0.978	|	-1.022	|	0.978
 26	|	-0.022	|	1.979	|	-0.022	|	1.979
 27	|	0.978	|	2.981	|	0.978	|	2.981
 28	|	1.979	|	1.979	|	1.979	|	3.983
 29	|	2.981	|	0.000	|	0.978	|	2.981
 30	|	0.000	|	3.995	|	1.991	|	3.995
 31	|	2.993	|	2.993	|	2.993	|	4.997
 32	|	3.995	|	1.991	|	1.991	|	3.995
 33	|	2.993	|	0.990	|	0.990	|	2.993
 34	|	1.991	|	0.978	|	-0.010	|	1.991
 35	|	0.990	|	1.979	|	-0.022	|	1.979
 36	|	0.978	|	2.981	|	0.978	|	2.981
 37	|	1.979	|	3.983	|	1.979	|	3.983
 38	|	2.981	|	2.981	|	2.981	|	4.985
 39	|	3.983	|	0.000	|	1.979	|	3.983
 40	|	0.000	|	4.997	|	2.993	|	4.997
 41	|	3.995	|	3.995	|	3.995	|	6.000
 42	|	4.997	|	2.993	|	2.993	|	4.997
 43	|	3.995	|	1.991	|	1.991	|	3.995
 44	|	2.993	|	1.979	|	0.990	|	2.993
 45	|	1.991	|	2.981	|	0.978	|	-1.000
 46	|	1.979	|	3.983	|	1.979	|	3.983
 47	|	2.981	|	4.985	|	2.981	|	4.985
 48	|	3.983	|	3.983	|	3.983	|	5.988
 49	|	4.985	|	0.000	|	2.981	|	4.985
 50	|	0.000	|	6.000	|	3.995	|	3.995
 51	|	0.000	|	0.000	|	0.000	|	0.000
 52	|	6.000	|	3.995	|	3.995	|	3.995
 53	|	4.997	|	2.993	|	2.993	|	2.993
 54	|	3.995	|	-1.000	|	1.991	|	2.981
 55	|	0.000	|	0.000	|	0.000	|	0.000
 56	|	-1.000	|	4.985	|	2.981	|	4.985
 57	|	3.983	|	5.988	|	3.983	|	5.988
 58	|	4.985	|	4.985	|	4.985	|	6.992
 59	|	5.988	|	0.000	|	3.983	|	5.988
 60	|	0.000	|	4.997	|	4.997	|	2.993
 61	|	3.995	|	3.995	|	6.000	|	3.995
 62	|	4.997	|	2.993	|	4.997	|	2.993
 63	|	3.995	|	2.981	|	3.995	|	2.981
 64	|	2.993	|	3.983	|	2.993	|	3.983
 65	|	2.981	|	4.985	|	-1.000	|	4.985
 66	|	3.983	|	5.988	|	3.983	|	5.988
 67	|	4.985	|	6.992	|	4.985	|	6.992
 68	|	5.988	|	5.988	|	5.988	|	7.995
 69	|	6.992	|	0.000	|	4.985	|	6.992
 70	|	0.000	|	3.995	|	3.995	|	1.991
 71	|	2.993	|	2.993	|	4.997	|	2.993
 72	|	3.995	|	2.981	|	3.995	|	1.991
 73	|	2.993	|	3.983	|	2.993	|	3.983
 74	|	2.981	|	4.985	|	2.981	|	4.985
 75	|	3.983	|	5.988	|	3.983	|	5.988
 76	|	4.985	|	6.992	|	4.985	|	6.992
 77	|	5.988	|	7.995	|	5.988	|	7.995
 78	|	6.992	|	6.992	|	6.992	|	9.000
 79	|	7.995	|	0.000	|	5.988	|	7.995
 80	|	0.000	|	2.993	|	2.993	|	0.990
 81	|	1.991	|	-1.000	|	3.995	|	-1.000
 82	|	-1.000	|	-1.000	|	2.993	|	-1.000
 83	|	1.991	|	4.985	|	2.981	|	-0.010
 84	|	3.983	|	5.988	|	3.983	|	3.983
 85	|	4.985	|	6.992	|	4.985	|	4.985
 86	|	5.988	|	7.995	|	5.988	|	5.988
 87	|	6.992	|	9.000	|	6.992	|	6.992
 88	|	0.000	|	0.000	|	0.000	|	0.000
 89	|	9.000	|	0.000	|	6.992	|	6.992
 90	|	0.000	|	-1.000	|	1.991	|	0.000
 91	|	-1.000	|	-1.000	|	-2.000	|	0.000
 92	|	-1.000	|	-1.000	|	-2.000	|	0.000
 93	|	-1.000	|	3.983	|	0.990	|	0.000
 94	|	2.981	|	4.985	|	4.985	|	0.000
 95	|	3.983	|	5.988	|	5.988	|	0.000
 96	|	4.985	|	6.992	|	6.992	|	0.000
 97	|	5.988	|	7.995	|	7.995	|	0.000
 98	|	6.992	|	6.992	|	9.000	|	0.000
 99	|	7.995	|	0.000	|	7.995	|	0.000
------------------ coin_idx = 5 ----------------
 0	|	0.000	|	2.976	|	0.000	|	2.976
 1	|	1.974	|	3.978	|	0.000	|	3.978
 2	|	2.976	|	4.980	|	0.000	|	4.980
