state	|	left	|	right	|	up	|	down
------------------ coin_idx = 7 ----------------
 95	|	-1.000	|	-1.000	|	-1.010	|	0.000
 96	|	-1.000	|	-0.027	|	-0.027	|	0.000
 97	|	-1.000	|	0.973	|	0.973	|	0.000
 98	|	-0.027	|	-0.027	|	1.974	|	0.000
 99	|	0.973	|	0.000	|	0.973	|	0.000
------------------ coin_idx = 2 ----------------
 0	|	0.000	|	0.990	|	0.000	|	0.990
 1	|	-0.010	|	-0.010	|	0.000	|	1.991
 2	|	0.990	|	-1.000	|	0.000	|	0.990
 3	|	-0.010	|	-1.000	|	0.000	|	-0.010
 4	|	-1.000	|	-1.000	|	0.000	|	-1.010
 5	|	-1.000	|	-1.000	|	0.000	|	-2.000
 6	|	-1.000	|	-1.000	|	0.000	|	-2.000
 7	|	-1.000	|	-1.000	|	0.000	|	-2.000
 8	|	-1.000	|	-1.000	|	0.000	|	-2.000
 9	|	-1.000	|	0.000	|	0.000	|	-1.000
 10	|	0.000	|	1.991	|	-0.010	|	1.991
 11	|	0.990	|	0.990	|	0.990	|	2.993
 12	|	1.991	|	-0.010	|	-0.010	|	1.991
 13	|	0.990	|	-1.010	|	-1.000	|	0.990
 14	|	-0.010	|	-2.000	|	-1.000	|	-0.010
 15	|	-1.010	|	-2.000	|	-1.000	|	-1.010
 16	|	-2.000	|	-2.000	|	-1.000	|	-2.010
 17	|	-2.000	|	-2.000	|	-1.000	|	-2.999
 18	|	-2.000	|	-1.000	|	-1.000	|	-2.000
 19	|	-2.000	|	0.000	|	-1.000	|	-1.000
 20	|	0.000	|	2.993	|	0.990	|	2.993
 21	|	1.991	|	1.991	|	1.991	|	3.995
 22	|	2.993	|	0.990	|	0.990	|	2.993
 23	|	1.991	|	-0.010	|	-0.010	|	1.991
 24	|	0.990	|	-1.010	|	-1.010	|	0.990
 25	|	-0.010	|	-2.010	|	-2.000	|	-0.010
 26	|	-1.010	|	-2.999	|	-2.000	|	-1.010
 27	|	-2.010	|	-2.000	|	-2.000	|	-2.010
 28	|	-2.999	|	-1.000	|	-2.000	|	-2.000
 29	|	-2.000	|	0.000	|	-1.000	|	-1.000
 30	|	0.000	|	3.995	|	1.991	|	3.995
 31	|	2.993	|	2.993	|	2.993	|	4.997
 32	|	3.995	|	1.991	|	1.991	|	3.995
 33	|	2.993	|	0.990	|	0.990	|	2.993
 34	|	1.991	|	-0.010	|	-0.010	|	1.991
 35	|	0.990	|	-1.010	|	-1.010	|	0.990
 36	|	-0.010	|	-2.010	|	-2.010	|	-0.010
 37	|	-1.010	|	-2.000	|	-2.999	|	-1.010
 38	|	-2.010	|	-1.000	|	-2.000	|	-2.000
 39	|	-2.000	|	0.000	|	-1.000	|	-1.000
 40	|	0.000	|	4.997	|	2.993	|	4.997
 41	|	3.995	|	3.995	|	3.995	|	6.000
 42	|	4.997	|	2.993	|	2.993	|	4.997
 43	|	3.995	|	1.991	|	1.991	|	3.995
 44	|	2.993	|	0.990	|	0.990	|	2.993
 45	|	1.991	|	-0.010	|	-0.010	|	-1.000
 46	|	0.990	|	-1.010	|	-1.010	|	-1.010
 47	|	-0.010	|	-2.000	|	-2.010	|	-2.010
 48	|	-1.010	|	-1.000	|	-2.000	|	-2.000
 49	|	-2.000	|	0.000	|	-1.000	|	-1.000
 50	|	0.000	|	6.000	|	3.995	|	3.995
 51	|	0.000	|	0.000	|	0.000	|	0.000
 52	|	6.000	|	3.995	|	3.995	|	3.995
 53	|	4.997	|	2.993	|	2.993	|	2.993
 54	|	3.995	|	-1.000	|	1.991	|	1.991
 55	|	0.000	|	0.000	|	0.000	|	0.000
 56	|	-1.000	|	-2.010	|	-0.010	|	-0.010
 57	|	-1.010	|	-2.000	|	-1.010	|	-1.010
 58	|	-2.010	|	-1.000	|	-2.000	|	-2.000
 59	|	-2.000	|	0.000	|	-1.000	|	-1.000
 60	|	0.000	|	4.997	|	4.997	|	2.993
 61	|	3.995	|	3.995	|	6.000	|	3.995
 62	|	4.997	|	2.993	|	4.997	|	2.993
 63	|	3.995	|	1.991	|	3.995	|	1.991
 64	|	2.993	|	0.990	|	2.993	|	0.990
 65	|	1.991	|	-0.010	|	-1.000	|	-0.010
 66	|	0.990	|	-1.010	|	-1.010	|	-1.010
 67	|	-0.010	|	-2.000	|	-2.010	|	-2.010
 68	|	-1.010	|	-1.000	|	-2.000	|	-2.000
 69	|	-2.000	|	0.000	|	-1.000	|	-1.000
 70	|	0.000	|	3.995	|	3.995	|	1.991
 71	|	2.993	|	2.993	|	4.997	|	2.993
 72	|	3.995	|	1.991	|	3.995	|	1.991
 73	|	2.993	|	0.990	|	2.993	|	0.990
 74	|	1.991	|	-0.010	|	1.991	|	-0.010
 75	|	0.990	|	-1.010	|	0.990	|	-1.010
 76	|	-0.010	|	-2.010	|	-0.010	|	-2.000
 77	|	-1.010	|	-2.000	|	-1.010	|	-2.000
 78	|	-2.010	|	-1.000	|	-2.000	|	-2.000
 79	|	-2.000	|	0.000	|	-1.000	|	-1.000
 80	|	0.000	|	2.993	|	2.993	|	0.990
 81	|	1.991	|	1.991	|	3.995	|	1.991
 82	|	2.993	|	0.990	|	2.993	|	0.990
 83	|	1.991	|	-0.010	|	1.991	|	-0.010
 84	|	0.990	|	-1.010	|	0.990	|	-1.000
 85	|	-0.010	|	-2.000	|	-0.010	|	-1.000
 86	|	-1.010	|	-2.000	|	-1.010	|	-1.000
 87	|	-2.000	|	-2.000	|	-2.010	|	-1.000
 88	|	-2.000	|	-1.000	|	-2.000	|	-1.000
 89	|	-2.000	|	0.000	|	-1.000	|	-1.000
 90	|	0.000	|	1.991	|	1.991	|	0.000
 91	|	0.990	|	0.990	|	2.993	|	0.000
 92	|	1.991	|	-0.010	|	1.991	|	0.000
 93	|	0.990	|	-1.000	|	0.990	|	0.000
 94	|	-0.010	|	-1.000	|	-0.010	|	0.000
 95	|	-1.000	|	-1.000	|	-1.010	|	0.000
 96	|	-1.000	|	-1.000	|	-2.000	|	0.000
 97	|	-1.000	|	-1.000	|	-2.000	|	0.000
 98	|	-1.000	|	-1.000	|	-2.000	|	0.000
 99	|	-1.000	|	0.000	|	-1.000	|	0.000
------------------ coin_idx = 1 ----------------
 0	|	0.000	|	-1.000	|	0.000	|	-1.000
 1	|	-1.000	|	-1.000	|	0.000	|	-2.000
 2	|	-1.000	|	-1.000	|	0.000	|	-2.000
 3	|	-1.000	|	5.983	|	0.000	|	-2.000
 4	|	-1.000	|	6.987	|	0.000	|	6.987
 5	|	-1.000	|	7.991	|	0.000	|	7.991
 6	|	6.987	|	8.995	|	0.000	|	8.995
 7	|	7.991	|	7.991	|	0.000	|	10.000
 8	|	8.995	|	6.987	|	0.000	|	8.995
 9	|	7.991	|	0.000	|	0.000	|	7.991
 10	|	0.000	|	-0.027	|	-1.000	|	-1.000
 11	|	-1.000	|	0.973	|	-1.000	|	0.973
 12	|	-0.027	|	1.974	|	-1.000	|	1.974
 13	|	-2.000	|	6.987	|	-1.000	|	2.976
 14	|	5.983	|	7.991	|	5.983	|	-2.000
 15	|	6.987	|	8.995	|	6.987	|	6.987
 16	|	7.991	|	10.000	|	7.991	|	7.991
 17	|	0.000	|	0.000	|	0.000	|	0.000
 18	|	10.000	|	7.991	|	7.991	|	7.991
 19	|	8.995	|	0.000	|	6.987	|	6.987
 20	|	0.000	|	0.973	|	-1.000	|	0.973
 21	|	-0.027	|	1.974	|	-0.027	|	1.974
 22	|	0.973	|	2.976	|	0.973	|	2.976
 23	|	1.974	|	5.983	|	1.974	|	3.978
 24	|	4.980	|	-2.000	|	6.987	|	4.980
 25	|	-2.999	|	7.991	|	7.991	|	5.983
 26	|	6.987	|	8.995	|	8.995	|	6.987
 27	|	7.991	|	7.991	|	10.000	|	7.991
 28	|	8.995	|	6.987	|	8.995	|	6.987
 29	|	7.991	|	0.000	|	7.991	|	5.983
 30	|	0.000	|	1.974	|	-0.027	|	-0.027
 31	|	0.973	|	2.976	|	0.973	|	0.973
 32	|	1.974	|	3.978	|	1.974	|	1.974
 33	|	2.976	|	4.980	|	2.976	|	2.976
 34	|	3.978	|	5.983	|	5.983	|	3.978
 35	|	4.980	|	6.987	|	6.987	|	4.980
 36	|	5.983	|	7.991	|	7.991	|	5.983
 37	|	6.987	|	6.987	|	8.995	|	6.987
 38	|	7.991	|	5.983	|	7.991	|	5.983
 39	|	6.987	|	0.000	|	6.987	|	4.980
 40	|	0.000	|	0.973	|	0.973	|	-1.000
 41	|	-0.027	|	1.974	|	1.974	|	-0.027
 42	|	-2.000	|	2.976	|	2.976	|	0.973
 43	|	1.974	|	3.978	|	3.978	|	1.974
 44	|	2.976	|	4.980	|	4.980	|	2.976
 45	|	3.978	|	5.983	|	5.983	|	-1.000
 46	|	4.980	|	6.987	|	6.987	|	4.980
 47	|	5.983	|	5.983	|	7.991	|	5.983
 48	|	6.987	|	4.980	|	6.987	|	4.980
 49	|	5.983	|	0.000	|	5.983	|	3.978
 50	|	0.000	|	-0.027	|	-0.027	|	-1.000
 51	|	-1.000	|	0.973	|	0.973	|	-2.000
 52	|	-2.000	|	1.974	|	1.974	|	-2.999
 53	|	0.973	|	2.976	|	2.976	|	-2.999
 54	|	1.974	|	-1.000	|	3.978	|	1.974
 55	|	0.000	|	0.000	|	0.000	|	0.000
 56	|	-1.000	|	5.983	|	5.983	|	3.978
 57	|	4.980	|	4.980	|	6.987	|	4.980
 58	|	5.983	|	3.978	|	5.983	|	3.978
 59	|	4.980	|	0.000	|	4.980	|	2.976
 60	|	0.000	|	-2.000	|	-1.000	|	-1.000
 61	|	-1.000	|	-2.999	|	-2.000	|	-2.000
 62	|	-2.000	|	-2.999	|	-2.999	|	-2.999
 63	|	-2.999	|	1.974	|	-2.000	|	-2.999
 64	|	0.973	|	-2.000	|	2.976	|	0.973
 65	|	1.974	|	3.978	|	-1.000	|	1.974
 66	|	2.976	|	4.980	|	4.980	|	2.976
 67	|	3.978	|	3.978	|	5.983	|	3.978
 68	|	4.980	|	2.976	|	4.980	|	2.976
 69	|	3.978	|	0.000	|	3.978	|	1.974
 70	|	0.000	|	-2.000	|	-1.000	|	-1.000
 71	|	-1.000	|	-2.999	|	-2.000	|	-2.000
 72	|	-2.000	|	-2.999	|	-2.999	|	-2.000
 73	|	-2.999	|	0.973	|	-2.999	|	-2.000
 74	|	-2.999	|	1.974	|	1.974	|	-2.000
 75	|	0.973	|	2.976	|	2.976	|	0.973
 76	|	1.974	|	3.978	|	3.978	|	1.974
 77	|	2.976	|	2.976	|	4.980	|	2.976
 78	|	3.978	|	1.974	|	3.978	|	1.974
 79	|	2.976	|	0.000	|	2.976	|	0.973
 80	|	0.000	|	-2.000	|	-1.000	|	-1.000
 81	|	-1.000	|	-2.000	|	-2.000	|	-1.000
 82	|	-2.000	|	-2.000	|	-2.999	|	-1.000
 83	|	-2.000	|	-2.000	|	-2.999	|	-1.000
 84	|	-2.000	|	0.973	|	0.973	|	-1.000
 85	|	-0.027	|	1.974	|	1.974	|	-0.027
 86	|	0.973	|	2.976	|	2.976	|	0.973
 87	|	1.974	|	1.974	|	3.978	|	1.974
 88	|	2.976	|	0.973	|	2.976	|	0.973
 89	|	1.974	|	0.000	|	1.974	|	-0.027
 90	|	0.000	|	-1.000	|	-1.000	|	0.000
 91	|	-1.000	|	-1.000	|	-2.000	|	0.000
 92	|	-1.000	|	-1.000	|	-2.000	|	0.000
 93	|	-1.000	|	-1.000	|	-2.000	|	0.000
 94	|	-1.000	|	-1.000	|	-2.000	|	0.000
 95	|	-1.000	|	0.973	|	0.973	|	0.000
 96	|	-0.027	|	1.974	|	1.974	|	0.000
 97	|	0.973	|	0.973	|	2.976	|	0.000
 98	|	1.974	|	-0.027	|	1.974	|	0.000
 99	|	0.973	|	0.000	|	0.973	|	0.000
------------------ coin_idx = 0 ----------------
 0	|	0.000	|	-1.000	|	0.000	|	-1.000
 1	|	-1.000	|	-1.000	|	0.000	|	-2.000
 2	|	-1.000	|	-1.000	|	0.000	|	-2.000
 3	|	-1.000	|	-1.000	|	0.000	|	-2.000
 4	|	-1.000	|	-1.000	|	0.000	|	-2.000
 5	|	-1.000	|	-1.000	|	0.000	|	-2.000
 6	|	-1.000	|	-1.000	|	0.000	|	-2.000
 7	|	-1.000	|	-1.000	|	0.000	|	-2.000
 8	|	-1.000	|	-1.000	|	0.000	|	-2.000
 9	|	-1.000	|	0.000	|	0.000	|	-1.000
 10	|	0.000	|	-2.000	|	-1.000	|	-1.000
 11	|	-1.000	|	-2.000	|	-1.000	|	-2.000
 12	|	-2.000	|	-2.000	|	-1.000	|	-2.999
 13	|	-2.000	|	-2.000	|	-1.000	|	-2.999
 14	|	-2.000	|	-2.000	|	-1.000	|	-2.999
 15	|	-2.000	|	-2.000	|	-1.000	|	-2.999
 16	|	-2.000	|	-2.000	|	-1.000	|	-2.999
 17	|	-2.000	|	-2.000	|	-1.000	|	-2.999
 18	|	-2.000	|	-1.000	|	-1.000	|	-2.000
 19	|	-2.000	|	0.000	|	-1.000	|	-1.000
 20	|	0.000	|	-2.000	|	-1.000	|	-1.000
 21	|	-1.000	|	-2.999	|	-2.000	|	-2.000
 22	|	-2.000	|	-2.999	|	-2.000	|	-2.999
 23	|	-2.999	|	-2.999	|	-2.000	|	-3.997
 24	|	-2.999	|	-2.999	|	-2.000	|	-3.997
 25	|	-2.999	|	-2.999	|	-2.000	|	-2.999
 26	|	-2.999	|	-2.999	|	-2.000	|	-3.997
 27	|	-2.999	|	-2.000	|	-2.000	|	-2.999
 28	|	-2.999	|	-1.000	|	-2.000	|	-2.000
 29	|	-2.000	|	0.000	|	-1.000	|	-1.000
 30	|	0.000	|	-2.000	|	-1.000	|	-1.000
 31	|	-1.000	|	-2.999	|	-2.000	|	-2.000
 32	|	-2.000	|	-3.997	|	-2.999	|	-2.999
 33	|	-2.999	|	-3.997	|	-2.999	|	-3.997
 34	|	-3.997	|	-2.999	|	-2.999	|	-2.999
 35	|	-3.997	|	-3.997	|	-2.999	|	-2.000
 36	|	-2.999	|	-2.999	|	-2.999	|	-2.999
 37	|	-3.997	|	-2.000	|	-2.999	|	-2.999
 38	|	-2.999	|	-1.000	|	-2.000	|	-2.000
 39	|	-2.000	|	0.000	|	-1.000	|	-1.000
 40	|	0.000	|	-2.000	|	-1.000	|	-1.000
 41	|	-1.000	|	-2.999	|	-2.000	|	-2.000
 42	|	-2.000	|	-3.997	|	-2.999	|	-2.999
 43	|	-2.999	|	-2.999	|	-3.997	|	-2.999
 44	|	-3.997	|	-2.000	|	-3.997	|	-2.000
 45	|	-2.999	|	-2.999	|	-2.999	|	-1.000
 46	|	-2.000	|	-2.999	|	-2.999	|	-2.000
 47	|	-2.999	|	-2.000	|	-2.999	|	-2.999
 48	|	-2.999	|	-1.000	|	-2.000	|	-2.000
 49	|	-2.000	|	0.000	|	-1.000	|	-1.000
 50	|	0.000	|	-2.000	|	-1.000	|	-1.000
 51	|	-1.000	|	-2.999	|	-2.000	|	-2.000
 52	|	-2.000	|	-2.999	|	-2.999	|	-2.999
 53	|	-2.999	|	-2.000	|	-3.997	|	-3.997
 54	|	-2.999	|	-1.000	|	-2.999	|	-2.999
 55	|	0.000	|	0.000	|	0.000	|	0.000
 56	|	-1.000	|	-2.999	|	-2.999	|	-2.999
 57	|	-2.000	|	-2.000	|	-2.999	|	-2.999
 58	|	-2.999	|	-1.000	|	-2.000	|	-2.000
 59	|	-2.000	|	0.000	|	-1.000	|	-1.000
 60	|	0.000	|	-2.000	|	-1.000	|	-1.000
 61	|	-1.000	|	-2.999	|	-2.000	|	-2.000
 62	|	-2.000	|	-3.997	|	-2.999	|	-2.999
 63	|	-2.999	|	-2.999	|	-2.999	|	-2.999
 64	|	-3.997	|	-2.000	|	-2.000	|	-2.999
 65	|	-2.999	|	-2.999	|	-1.000	|	-2.999
 66	|	-2.000	|	-2.999	|	-2.000	|	-2.999
 67	|	-2.999	|	-2.000	|	-2.999	|	-2.999
 68	|	-2.999	|	-1.000	|	-2.000	|	-2.000
 69	|	-2.000	|	0.000	|	-1.000	|	-1.000
 70	|	0.000	|	-2.000	|	-1.000	|	-1.000
 71	|	-1.000	|	-2.999	|	-2.000	|	-2.000
 72	|	-2.000	|	-2.999	|	-2.999	|	-2.000
 73	|	-2.999	|	-2.999	|	-3.997	|	-2.000
 74	|	-2.999	|	-2.999	|	-2.999	|	-2.000
 75	|	-2.999	|	-2.999	|	-2.000	|	-2.000
 76	|	-2.999	|	-2.999	|	-2.999	|	-2.000
 77	|	-2.999	|	-2.000	|	-2.999	|	-2.000
 78	|	-2.999	|	-1.000	|	-2.000	|	-2.000
 79	|	-2.000	|	0.000	|	-1.000	|	-1.000
 80	|	0.000	|	-2.000	|	-1.000	|	-1.000
 81	|	-1.000	|	-2.000	|	-2.000	|	-1.000
 82	|	-2.000	|	-2.000	|	-2.999	|	-1.000
 83	|	-2.000	|	-2.000	|	-2.999	|	-1.000
 84	|	-2.000	|	-2.000	|	-2.999	|	-1.000
 85	|	-2.000	|	-2.000	|	-2.999	|	-1.000
 86	|	-2.000	|	-2.000	|	-2.999	|	-1.000
 87	|	-2.000	|	-2.000	|	-2.999	|	-1.000
 88	|	-2.000	|	-1.000	|	-2.000	|	-1.000
 89	|	-2.000	|	0.000	|	-1.000	|	-1.000
 90	|	0.000	|	-1.000	|	-1.000	|	0.000
 91	|	-1.000	|	-1.000	|	-2.000	|	0.000
 92	|	-1.000	|	-1.000	|	-2.000	|	0.000
 93	|	-1.000	|	-1.000	|	-2.000	|	0.000
 94	|	-1.000	|	-1.000	|	-2.000	|	0.000
 95	|	-1.000	|	-1.000	|	-2.000	|	0.000
 96	|	-1.000	|	-1.000	|	-2.000	|	0.000
 97	|	-1.000	|	-1.000	|	-2.000	|	0.000
 98	|	-1.000	|	-1.000	|	-2.000	|	0.000
 99	|	-1.000	|	0.000	|	-1.000	|	0.000
